PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Unnamed: 15
0,1970-01-01 20:50:55,0.6288495063781738,-0.3436204493045807,-0.4945567846298218,-0.4918752312660217,0.0,0.0,0.0,0.0,0.0,0.0,-0.360595703125,-0.826904296875,-0.12548828125, 
1,1970-01-02 01:28:42,0.6293267011642456,-0.3429189920425415,-0.4946964979171753,-0.4916141629219055,9.430708885192873,0.4675496816635132,2.7410058975219727,7.572695732116699,1.9532567262649536,-0.7913557291030884,-0.360595703125,-0.823974609375,-0.12451171875, 
2,1970-01-02 06:06:29,0.629816472530365,-0.3422704041004181,-0.4948395192623138,-0.4912948906421661,9.52504062652588,0.487403929233551,2.691124677658081,7.583134174346924,1.6652674674987793,-0.3254093825817108,-0.357666015625,-0.822509765625,-0.132568359375, 
3,1970-01-02 10:44:16,0.6304011940956116,-0.3415648639202118,-0.4948948621749878,-0.4909801185131073,9.570775985717772,0.4246780574321747,2.736812829971313,7.742457389831543,2.571624279022217,-0.0112311718985438,-0.3583984375,-0.824462890625,-0.126708984375, 
4,1970-01-02 15:22:03,0.6310699582099915,-0.3407434821128845,-0.4949038624763489,-0.4906827509403229,9.57288646697998,0.4601135551929474,2.716162919998169,8.225706100463867,3.4893791675567627,-0.0887608379125595,-0.362060546875,-0.8212890625,-0.128173828125, 
5,1970-01-02 19:59:50,0.631748378276825,-0.3398835361003876,-0.4949136972427368,-0.4903960824012756,9.537256240844728,0.4638160467147827,2.7732787132263184,8.382481575012207,3.673931360244751,-0.2350222021341323,-0.361328125,-0.821533203125,-0.125, 
6,1970-01-03 00:37:37,0.6324116587638855,-0.3390178382396698,-0.4948744773864746,-0.4901801645755768,9.312349319458008,0.4192049205303192,2.6494405269622803,7.967786312103271,4.020944595336914,-0.4987049400806427,-0.361083984375,-0.82080078125,-0.126953125, 
7,1970-01-03 05:15:24,0.6330031156539917,-0.3381637036800384,-0.4948848485946655,-0.4899959862232208,9.372447967529297,0.4818536341190338,2.578435182571411,7.808372974395752,3.594993352890014,-0.9547392129898072,-0.3623046875,-0.82470703125,-0.128173828125, 
8,1970-01-03 09:53:11,0.633567750453949,-0.3373832404613495,-0.4947362244129181,-0.489954262971878,9.540220260620115,0.6226785778999329,2.6027698516845703,6.254231929779053,4.271615982055664,-1.0914214849472046,-0.364013671875,-0.819091796875,-0.12744140625, 
9,1970-01-03 14:30:58,0.6341208219528198,-0.3365710973739624,-0.4945249855518341,-0.4900104701519012,9.435856819152832,0.6017612814903259,2.6842427253723145,5.923238754272461,4.843470573425293,-1.487470626831055,-0.360595703125,-0.822265625,-0.1328125, 
10,1970-01-03 19:08:45,0.6346478462219238,-0.3355819880962372,-0.4943804442882538,-0.4901524186134338,9.309986114501951,0.5412405729293823,2.6828813552856445,6.681029319763184,5.266683101654053,-2.670841693878174,-0.364990234375,-0.820068359375,-0.1279296875, 
11,1970-01-03 23:46:32,0.6352038383483887,-0.3344886898994446,-0.4943888187408447,-0.4901710152626037,9.28156852722168,0.4916611313819885,2.747591495513916,8.03528881072998,4.758258819580078,-2.773062467575073,-0.364013671875,-0.818115234375,-0.127197265625, 
12,1970-01-04 04:24:19,0.635751485824585,-0.3334344029426574,-0.494570642709732,-0.4899958372116089,9.17301082611084,0.5004540085792542,2.7961909770965576,9.089225769042969,3.3946757316589355,-2.221261739730835,-0.36669921875,-0.820068359375,-0.130126953125, 
13,1970-01-04 09:02:06,0.636210560798645,-0.3325163424015045,-0.4949397444725036,-0.4896512329578399,9.233834266662598,0.5468618273735046,2.853595018386841,9.540061950683594,1.4306042194366455,-1.7323668003082275,-0.364990234375,-0.8193359375,-0.126708984375, 
14,1970-01-04 13:39:53,0.6366884112358093,-0.3316256403923034,-0.4952870011329651,-0.4892828464508056,9.463829040527344,0.6135764718055725,2.9315526485443115,9.44521713256836,1.442155361175537,-1.4298932552337646,-0.360107421875,-0.822021484375,-0.127197265625, 
15,1970-01-04 18:17:40,0.6372907757759094,-0.3307010531425476,-0.4955067932605743,-0.4889018833637237,9.483477592468262,0.6507492065429688,2.926305294036865,9.517008781433104,2.5099363327026367,-0.7728250026702881,-0.361572265625,-0.8203125,-0.122314453125, 
16,1970-01-04 22:55:27,0.6379503607749939,-0.3297750055789947,-0.4956628978252411,-0.4885085523128509,9.453044891357422,0.7361377477645874,2.957891702651977,9.460712432861328,2.960489511489868,-0.3935007750988006,-0.366455078125,-0.8154296875,-0.130859375, 
17,1970-01-05 03:33:14,0.6386030316352844,-0.3288997113704681,-0.4956726729869842,-0.4882358610630035,9.411751747131348,0.7708604335784912,2.911797285079956,8.356010437011719,3.6833817958831783,-0.4286414086818695,-0.365234375,-0.819091796875,-0.124267578125, 
18,1970-01-05 08:11:01,0.6392180323600769,-0.3280439376831054,-0.4957009553909302,-0.4879781603813171,9.295949935913086,0.7439014911651611,2.896183729171753,8.171201705932617,3.441380500793457,-0.6047031879425049,-0.36669921875,-0.8212890625,-0.120849609375, 
19,1970-01-05 12:48:48,0.6397897601127625,-0.3272562623023987,-0.495793730020523,-0.4876634776592254,9.26645565032959,0.7149678468704224,2.883107900619507,8.173827171325684,2.652189254760742,-0.4161424338817596,-0.361328125,-0.817626953125,-0.12353515625, 
20,1970-01-05 17:26:35,0.6403920650482178,-0.3264998495578766,-0.4959175586700439,-0.4872539043426513,9.31707763671875,0.7031354904174805,2.89682412147522,8.546696662902832,2.3018202781677246,0.145153596997261,-0.36669921875,-0.81884765625,-0.12109375, 
21,1970-01-05 22:04:22,0.6410425901412964,-0.3257927298545837,-0.4960508346557617,-0.486735850572586,9.318440437316896,0.7090058922767639,2.9789867401123047,8.83642864227295,2.016289710998535,0.9305672645568848,-0.36962890625,-0.821533203125,-0.1220703125, 
22,1970-01-06 02:42:09,0.6416929364204407,-0.3250553011894226,-0.4961057305335998,-0.4863158464431762,9.419611930847168,0.7930974960327148,2.994304180145264,8.378727912902832,2.6826298236846924,0.5709519982337952,-0.367431640625,-0.818115234375,-0.123046875, 
23,1970-01-06 07:19:56,0.6423057913780212,-0.3243773281574249,-0.4958755075931549,-0.4861942231655121,9.52077579498291,0.8671524524688721,3.032806396484375,6.070755958557129,4.281426429748535,-0.0273287575691938,-0.36669921875,-0.8193359375,-0.1201171875, 
24,1970-01-06 11:57:43,0.6428782939910889,-0.3237805664539337,-0.4955311417579651,-0.4861862659454345,9.420003890991213,0.7849245071411133,2.988198518753052,4.843727111816406,4.6290154457092285,-0.1350813955068588,-0.367919921875,-0.815673828125,-0.126708984375, 
25,1970-01-06 16:35:30,0.6434543132781982,-0.3229114711284637,-0.4955969452857971,-0.485935240983963,9.266802787780762,0.653645932674408,2.9250800609588623,8.276931762695312,3.1986234188079834,-0.8828827738761902,-0.36962890625,-0.817626953125,-0.120849609375, 
